City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,camacha,33.0833,-16.3333,13.68,58,75,9.26,PT,1675716293
297,susanville,40.4163,-120.653,6.01,59,0,1.54,US,1675716294
298,rudnogorsk,57.2639,103.7519,-24.18,100,95,1.51,RU,1675716294
299,eureka,40.8021,-124.1637,12.33,78,99,1.79,US,1675716294
300,halifax,44.6453,-63.5724,5.25,84,100,5.66,CA,1675715556
301,salmas,38.1973,44.7653,1.69,98,99,0.87,IR,1675716295
302,katobu,-4.9408,122.5276,23.8,89,99,0.28,ID,1675716295
303,murmashi,68.8154,32.8115,-2.77,100,75,4.02,RU,1675716295
304,whitehorse,60.7161,-135.0538,0.57,55,20,5.66,CA,1675716296
305,georgetown,5.4112,100.3354,25.96,94,20,3.09,MY,1675716164
306,qaqortoq,60.7167,-46.0333,-22.17,71,69,3.54,GL,1675716296
307,beitbridge,-22.2167,30.0,27.71,43,72,6.97,ZW,1675716296
308,kavaratti,10.5669,72.642,26.96,75,84,5.96,IN,1675716297
309,harper,4.375,-7.7169,26.37,80,100,3.87,LR,1675716297
310,bundaberg,-24.85,152.35,22.34,91,24,1.34,AU,1675716297
311,pitimbu,-7.4706,-34.8086,27.33,68,81,5.56,BR,1675716298
312,harrismith,-28.2728,29.1295,13.15,94,83,2.27,ZA,1675716298
313,doka,13.5167,35.7667,26.8,24,97,4.51,SD,1675716298
314,pakaur,24.6333,87.85,15.77,47,0,1.17,IN,1675716299
315,hirara,24.8,125.2833,20.66,81,84,3.36,JP,1675716299
316,boa vista,2.8197,-60.6733,25.99,83,100,4.63,BR,1675716077
317,rabaul,-4.1967,152.1721,26.89,79,100,1.59,PG,1675716300
318,san javier,37.8063,-0.8374,11.1,70,95,3.58,ES,1675716300
319,gamba,-2.65,10.0,25.98,82,91,2.1,GA,1675716301
320,sisimiut,66.9395,-53.6735,-19.62,91,100,2.61,GL,1675716301
321,shostka,51.863,33.4698,-10.61,98,57,1.57,UA,1675716301
322,pangkalanbuun,-2.6833,111.6167,23.16,98,99,1.12,ID,1675716302
323,hovd,48.0056,91.6419,-17.24,87,5,0.78,MN,1675716302
324,alofi,-19.0595,-169.9187,26.94,89,40,3.6,NU,1675716303
325,broome,42.2506,-75.833,1.76,82,100,5.14,US,1675716303
326,malakal,9.5334,31.6605,28.38,18,18,2.97,SS,1675716144
327,caborca,30.5838,-111.101,18.22,24,95,8.43,MX,1675716304
328,winnemucca,40.973,-117.7357,3.22,52,17,4.44,US,1675716304
329,dumka,24.2667,87.25,15.84,41,0,1.5,IN,1675716304
330,effium,6.6292,8.0593,31.27,32,53,2.49,NG,1675716305
331,brae,60.3964,-1.353,8.67,78,97,11.25,GB,1675716305
332,antalaha,-14.9003,50.2788,23.39,91,100,1.59,MG,1675716306
333,laguna,38.421,-121.4238,16.24,52,0,5.66,US,1675716306
334,san cristobal,7.7669,-72.225,27.1,46,68,2.31,VE,1675716306
335,mamallapuram,12.6264,80.1722,24.03,80,9,2.28,IN,1675716307
336,ancud,-41.8697,-73.8203,16.96,66,0,2.63,CL,1675716113
337,daru,-9.0763,143.2092,24.33,93,100,3.83,PG,1675716307
338,komsomolskiy,40.4272,71.7189,1.4,93,61,2.06,UZ,1675716228
339,dobryatino,55.5055,41.3195,-10.29,98,100,1.3,RU,1675716308
340,jibuti,11.5,42.5,20.25,64,8,4.87,DJ,1675716308
341,ganzhou,28.8184,115.4327,10.51,93,100,1.54,CN,1675716308
342,tilichiki,60.4667,166.1,-32.37,94,24,3.93,RU,1675716309
343,nakhon nayok,14.1667,101.1,25.08,85,20,1.59,TH,1675716309
344,praia,14.9215,-23.5087,20.3,56,75,12.35,CV,1675716214
345,dzaoudzi,-12.7887,45.2699,25.94,89,0,1.54,YT,1675716310
346,nouadhibou,20.931,-17.0347,17.99,63,0,8.75,MR,1675716180
347,sao felix do xingu,-6.6447,-51.995,28.07,74,58,0.92,BR,1675716310
348,vilyuysk,63.7553,121.6247,-41.25,100,96,0.2,RU,1675716310
349,nemuro,43.3236,145.575,-4.11,94,100,4.5,JP,1675716311
350,fayaoue,-20.65,166.5333,27.13,83,86,4.61,NC,1675716311
351,luqiao,28.5808,121.3772,11.68,95,99,2.32,CN,1675716312
352,necochea,-38.5473,-58.7368,21.06,46,29,8.12,AR,1675716312
353,vila do maio,15.1333,-23.2167,20.44,62,43,10.61,CV,1675716312
354,sabha,27.0377,14.4283,11.77,49,100,4.53,LY,1675716313
355,kaspiysk,42.8816,47.6392,1.1,86,100,6.0,RU,1675716313
356,solton,52.8429,86.4787,-5.74,97,100,1.13,RU,1675716313
357,belem,-1.4558,-48.5044,27.02,78,40,2.57,BR,1675715956
358,gazanjyk,39.2446,55.5154,8.44,57,0,5.43,TM,1675716105
359,oxbow,49.2333,-102.1676,0.36,85,90,10.0,CA,1675716314
360,panaba,21.2833,-88.2667,26.64,61,71,3.97,MX,1675716314
361,conde,-7.2597,-34.9075,26.7,78,75,3.6,BR,1675716315
362,morant bay,17.8815,-76.4093,28.17,68,0,5.24,JM,1675716315
